title,text
Villa de María del Río Seco,"Villa de María del Río Seco (usually shortened to Villa de María, not to be confused with Villa María) is a town in the province of Córdoba, Argentina.  It has 3,819 inhabitants per the 2001 census , and is the head town of the Río Seco Department.  It lies in the north of the province, by National Route 9, about 27 km south of the provincial border with Santiago del Estero and 170 km north-northeast of the provincial capital Córdoba."
Carrizo de la Ribera,"Carrizo de la Ribera (] ) is a town and municipality in the Province of León, Castile and León, Spain.  According to the 2008 census (INE), the municipality has a population of 2,554 inhabitants.  It is situated in the western bank of the .  In addition to Carrizo, the municipality includes the villages of Huerga del Río, La Milla del Río, Quiñones del Río and Villanueva de Carrizo."
University of Pinar del Río,"The University of Pinar del Río ""Hermanos Saiz Montes de Oca"" (Spanish: ""Universidad de Pinar del Río ""Hermanos Saíz Montes de Oca"""", UPR) is a university located in Pinar del Río, Cuba.  It was founded in 1972."
Pocoyo,"Pocoyo (""Pocoyó"" in Spanish) is a Spanish pre-school comedy animated television series created by Guillermo García Carsí, Colman López, Luis Gallego and , and is a co-production between Spanish producer Zinkia Entertainment, Cosgrove-Hall Films and Granada International.  Two series have been produced, each consisting of 52 seven-minute episodes.  English actor and comedian Stephen Fry narrates the English-language version and José María del Río narrates the Castilian Spanish version of the first two seasons, while Stephen Hughes narrates the third season, called Let's Go Pocoyo.  In 2016, a new spin-off show called ""Pocoyo Planet"" was created."
Monastery of Santa María del Roure,"The monastery of Santa María del Roure, referred to as El Roure by locals, is a ruined monastery to the northwest of Pont de Molins (Alt Empordà) at the top of the Sierra de los Tramonts.  Mostly Gothic-era portions of the building are preserved.  Dedicated to the Virgin Mary, the various names of the sanctuary -Santa María del Roure, Canónica de Santa María del Roure, Monastery of Santa María del Roure, or according to the Cartographic Institute of Catalonia: Mare de Deu del Roure- date from the 11th or early 12th century.  This building is indexed in the Catalan heritage register as Bé Cultural d'Interès Local (BCIL) under the reference IPA-19985."
Jose María del Río,"Jose María del Río is a Spanish voice actor, known as the Narrator for the animated series Pocoyo."
Duke of Almodóvar del Río,"Duke of Almódovar del Río (""Ducado de Almodóvar del Río"") is a hereditary ducal title in the Spanish nobility which holds a Grandeeship of Spain 2nd Class.  It was conferred on 11 July 1780 on Pedro Jiménez de Góngora, 6th Marquis of Almodóvar del Río, by King Charles III of Spain, thus raising to a dukedom the Marquiste of Almodóvar del Río.  This title had been granted to Francisco Jiménez de Góngora y Castillejo by King Charles II of Spain, the 13 May 1667.  Historically, the title corresponds to dominion over the area around Almodóvar del Río."
María del Carmen Concepción González,María del Carmen Concepción González is a Cuban politician and the Cuban Minister of Food Industries (2009–present).  She was appointed as a result of the 2009 shake-up by Raúl Castro.  She is a Deputy to the National Assembly of Popular Power.  She was First Secretary of the Communist Party of Cuba in the Pinar del Río Province.
1922 British Mount Everest expedition,"The 1922 British Mount Everest expedition was the first mountaineering expedition with the express aim of making the first ascent of Mount Everest.  This was also the first expedition that attempted to climb Everest using bottled oxygen.  The expedition would attempt to climb Everest from the northern side out of Tibet.  At the time, Everest could not be attempted from the south out of Nepal as the country was closed to Western foreigners."
Mallory and Irvine Research Expedition,"The goal of the Mallory and Irvine Research Expedition of 1999 was to discover evidence of whether George Mallory and Andrew Irvine had been the first to summit Mount Everest in their attempt of 8–9 June 1924.  The expedition was organized by regular Everest expedition leader Eric Simonson and advised by researcher Jochen Hemmleb, with a team of climbers from the U.S., the United Kingdom, and Germany.  Hemmleb's investigations of sketchy reports of earlier sightings and photographs had led him to identify what he believed was the area in which Irvine's body lay, some distance below where his ice axe had been found by Percy Wyn-Harris on the expedition led by Hugh Ruttledge in 1933.  The team hoped in particular to find a camera on Irvine's body which, had the pair been successful, should have contained a picture of the summit.  Within hours of commencing the search on 1 May 1999, Conrad Anker found a body on the North Face, at 8,155 m; but to their surprise it was that of Mallory, not Irvine."
1924 British Mount Everest expedition,"The 1924 British Mount Everest expedition was—after the 1922 British Mount Everest expedition—the second expedition with the goal of achieving the first ascent of Mount Everest.  After two summit attempts in which Edward Norton set a world altitude record of 28,126 feet (8572m), the mountaineers George Mallory and Andrew ""Sandy"" Irvine disappeared on the third attempt.  Their disappearance has given rise to the long-standing unanswered question of whether or not the pair climbed to the summit.  Mallory's body was found in 1999 at 26,760 feet (8155 m), but the resulting clues did not provide conclusive evidence as to whether the summit was reached."
Rob Hall,"Robert Edwin ""Rob"" Hall {'1': "", '2': "", '3': "", '4': ""} (14 January 1961 – 11 May 1996) was a New Zealand mountaineer best known for being the head guide of a 1996 Mount Everest expedition in which he, a fellow guide, and two clients perished.  A best-selling account of the expedition was given in Jon Krakauer's ""Into Thin Air"", and the expedition has been dramatised in the 2015 film ""Everest""."
Dicky Dolma,"Dicky Dolma (born 5 April 1974) is an Indian woman who is known for being the youngest woman to summit Mount Everest up to that time at the age of 19 on May 10, 1993.  This occurred on the Indo-Nepal Women's Everest Expedition.  This Indo-Nepal Women's Everest Expedition was led by Bachendri Pal who was the first Indian woman to summit Mount Everest in 1984.  Dicky was also a skier and attended numerous sporting competitions including the 1989 All-India Open Auli Ski Festival and the Asian Winter Games in 1999.  She took ski training courses and basic mountaineering courses by the Manali Institute.  In the same expedition as Dicky Dolma, Santosh Yadav summited Mount Everest for the second time, the first woman to summit twice.  Dolma came from Palchan Village near Manali (in India)."
