id,title,text
81,"Theobald III, Count of Blois","Theobald III of Blois( French:"" Thibaut"")( 1012–1089) was count of Blois, Meaux and Troyes. He was son of Odo II, Count of Blois and Ermengarde of Auvergne."
82,Alix of France,"Alix of France( July – August 1150 – 1197/1198) was countess consort of Blois by marriage to Theobald V, Count of Blois. She was regent of Blois during the absence of her spouse in 1190- 1191, and regent during the minority of Louis I, Count of Blois from 1191 until 1197."
83,"Mary, Countess of Blois","Mary, Countess of Blois, also known as"" Marie of Avesnes"",( 1200 – 1241) was countess of Blois from 1230 to 1241. She was the daughter of Walter of Avesnes and Margaret of Blois. In 1226, Mary married Hugh I of Châtillon, a count from Châtillon- sur- Marne, son of Gaucher III of Châtillon and Elisabeth of Saint Pol. They had five children: Her eldest son John, succeeded her in Blois."
84,"Margaret of Valois, Countess of Blois","Margaret of Valois (1295–1342) was a French noblewoman. She was a daughter of Charles, Count of Valois, and his first wife, Margaret, Countess of Anjou. She was also a sister of King Philip VI of France. In 1310, she married Guy I, Count of Blois. They had three children together:"
85,"Guy I, Count of Blois","Guy I of Châtillon, Count of Blois( died 12 August 1342), son of Hugh II of Châtillon and Beatrix of Dampierre, was Count of Blois and Lord of Avesnes 1307 – 1342. In 1310, he married Margaret of Valois, daughter of Charles of Valois and sister of Philip VI of France. They had three children: He took part in the expedition of Louis X of France against his uncle Robert III of Flanders in 1315, and in the early stages of the Hundred Years' War."
86,"Marie of Valois, Duchess of Calabria","Marie of Valois( 1309 – 23 October 1331), was the eldest daughter of Charles of Valois by his third wife Mahaut of Châtillon. She was a member of the House of Valois. One of her five children was Queen Joanna I of Naples."
87,"Margaret, Countess of Anjou","Margaret, Countess of Anjou (1272 – 31 December 1299) was Countess of Anjou and Maine in her own right and Countess of Valois, Alençon, Chartres and Perche by marriage. Margaret's father was King Charles II of Naples, whilst her husband was Charles of Valois, and her older brother was Saint Louis of Toulouse; her nephew was Charles I of Hungary."
88,"Louis II, Count of Blois","Louis II of Châtillon( d. 26 August 1346, battle of Crécy), son of Guy I, Count of Blois and Margaret of Valois, was count of Blois and lord of Avesnes 1342 – 1346. In 1340 in Soissons, he married Jeanne of Avesnes, Countess of Soissons( d. 1350), daughter of John of Avesnes, Lord of Beaumont. They had three children: Louis was killed at the Battle of Crécy."
89,"Margaret, Countess of Blois","Margaret of Blois( French:"" Marguerite""; died 1230) was"" suo jure"" Countess of Blois from 1218 to 1230, in what is now France."
90,Adele of Valois,"Adele of Valois was a daughter of Ralph IV of Valois and Adele of Bar-sur- Aube. She married firstly Herbert IV, Count of Vermandois, and they had: She was also the second wife of Theobald III, Count of Blois, and they had:"
91,Stan Rice,"Stan Rice( November 7, 1942 – December 9, 2002) was an American poet and artist. He was the husband of author Anne Rice."
92,Jane Henson,"Jane Ann Henson (Nebel; June 16, 1934 – April 2, 2013) was an American puppeteer and the wife of puppeteer Jim Henson."
93,Jim Henson,"James Maury Henson (September 24, 1936 – May 16, 1990) was an American puppeteer, animator, cartoonist, actor, inventor, filmmaker, and screenwriter who achieved worldwide notice as the creator of The Muppets (1955–present) and ""Fraggle Rock"" (1983–1987); and as the director of ""The Dark Crystal"" (1982) and ""Labyrinth"" (1986). He was born in Greenville, Mississippi, and raised in Leland, Mississippi, and University Park, Maryland.
Henson began developing puppets in high school. He created ""Sam and Friends"", a short-form comedy television program, while he was a freshman at the University of Maryland, College Park. He graduated from the University of Maryland with a degree in home economics, after which he produced coffee advertisements and developed experimental films. In 1958, he co-founded Muppets, Inc., which became The Jim Henson Company. In 1969, Henson joined the children's educational television program ""Sesame Street"" where he helped to develop characters for the series. He and his creative team also appeared on the sketch comedy show ""Saturday Night Live"". He produced ""The Muppet Show"" during this period, premiering the series in 1976. He won fame for his characters, particularly Kermit the Frog, Rowlf the Dog, and Ernie. During the later years of his life, he founded the Jim Henson Foundation and Jim Henson's Creature Shop. He won the Emmy Award twice for his involvement in ""The Storyteller"" and ""The Jim Henson Hour"". On May 16, 1990, Henson died from toxic shock syndrome in New York City at the age of 53. His remains were cremated and the ashes were scattered near Taos, New Mexico. In the weeks following his death, he was celebrated with a wave of tributes. He was posthumously inducted into the Hollywood Walk of Fame in 1991 and was selected to be one of the Disney Legends in 2011."
94,Norman Henson,Norman Henson( born 3 March 1950) is a Filipino gymnast. He competed in five events at the 1968 Summer Olympics.
95,Brian Henson,"Brian Henson( born November 3, 1963) is an American puppeteer, director, producer, technician, and the chairman of The Jim Henson Company. He is the son of puppeteers Jim and Jane Henson."
96,Steve Henson (politician),"Steve Henson( born March 30, 1959) is a Democratic member of the Georgia Senate, as well as the Democratic leader in the Senate."
97,Adam Henson,"Adam John Lincoln Henson( born 8 January 1966) is an English farmer, author and television presenter."
98,Jon Leach,"Jonathan Leach( born April 18, 1973) is a former professional tennis player from the United States. He is the husband of Lindsay Davenport."
99,Michele Henson,"Michele Henson( born August 29, 1946) is an American politician who has served in the Georgia House of Representatives since 1991."
100,Bill Henson,Bill Henson( born 7 October 1955) is an Australian contemporary art photographer.
101,John Adams (merchant),John Adams( 1672 or 1673 – 1745) was an American- born Canadian merchant and member of the Nova Scotia Council. He was the father- in- law of Henry Newton( politician).
102,Countess Alexandra von Zarnekau,"Countess Alexandra Constantinovna von Zarnekau (Russian: графиня Александра Константиновна Зарнекау, 10 May 1883 - 28 May 1957) was the eldest daughter of Duke Constantine Petrovich of Oldenburg and his morganatic wife, Agrippina Japaridze, Countess von Zarnekau. At age 17, on 11 February 1900, Countess Alexandra married Prince George Alexandrovich Yuryevsky, the son of Tsar Alexander II by his mistress (and later wife), Ekaterina Mikhailovna Dolgorukova, the Princess Yourievskya. They were married at Nice, France, and had one child, Prince Alexander Georgievich Yourievsky, who was born 20 December 1901. Alexandra and George divorced in 1908. Countess Alexandra married secondly to Leo Vassilievich Narishkin on 17 October 1908 at Paris, France. During the First World War, Countess Alexandra worked as an administrator of the Russian hospital at Saloniki. After the war, she settled in Paris, France. She died there on 28 May 1957 at age 74."
103,Marianne Pistohlkors,"Marianne Pistohlkors( born Marianna Erikovna von Pistohlkors; June 30, 1890 – May 14, 1976) was a Russian- born aristocrat and later an actress. She was a suspected co-conspirator in the murder of Grigori Rasputin. As the first wife of Count Nicholas von Zarnekau, she was known for many years as Countess Marianne von Zarnekau. She became one of the first women of nobility to attend the Imperial School of Dramatic Arts, and she appeared under the stage name of Mariana Fiory in MGM's 1944 film,"" Song of Russia""."
104,Peter Burroughs,"Peter Burroughs( born 27 January 1947) is a British television and film actor, the director of Willow Management. He is the father- in- law of actor and TV presenter Warwick Davis."
105,Prince George Alexandrovich Yuryevsky,"Prince George Alexandrovich Yuryevsky (12 May 1872 [30 April 1872 O. S.] – 13 September 1913) was the natural son of Alexander II of Russia by his mistress (and later wife), Catherine Dolgorukov. The morganatic marriage of George's parents on 6 July 1880, eight years after his birth, resulted in the legitimation of their three surviving children, and George gained the style of ""Serene Highness""."
106,Bill Dundee,"William"" Bill"" Cruickshanks( born 24 October 1943) is a Scottish born- Australian professional wrestler and author better known by his stage name Bill Dundee. Cruickshanks is the father of Jamie Dundee and the father- in- law of wrestler Bobby Eaton."
107,Barthold A. Butenschøn Sr.,"Hans Barthold Andresen Butenschøn( 27 December 1877 – 28 November 1971) was a Norwegian businessperson. He was born in Kristiania as a son of Nils August Andresen Butenschøn and Hanna Butenschøn, and grandson of Nicolay Andresen. Together with Mabel Anette Plahte( 1877 – 1973, a daughter of Frithjof M. Plahte) he had the son Hans Barthold Andresen Butenschøn Jr. and was through him the father- in- law of Ragnhild Butenschøn and grandfather of Peter Butenschøn. Through his daughter Marie Claudine he was the father- in- law of Joakim Lehmkuhl, through his daughter Mabel Anette he was the father- in- law of Harald Astrup( a son of Sigurd Astrup) and through his daughter Nini Augusta he was the father- in- law of Ernst Torp. He took commerce school and agricultural school. He was hired in the family company N. A. Andresen& Co, and became a co-owner in 1910. He eventually became chief executive officer. The bank changed its name to Andresens Bank in 1913 and merged with Bergens Kreditbank in 1920. The merger was dissolved later in the 1920s. He was also a landowner, owning Nedre Skøyen farm and a lot of land in Enebakk. He chaired the board of Nydalens Compagnie from 1926, having not been a board member before that. He also chaired the supervisory council of Forsikringsselskapet Viking and Nedre Glommen salgsforening, and was a supervisory council member of Filharmonisk Selskap. He was a member of the gentlemen's club SK Fram since 1890, and was proclaimed a lifetime member in 1964. He was buried in Enebakk."
